DATASTRUCTURE N TIME SCORE WORDS_FOUND PRECISION
TRIE 35 3600225 6033 3781 10000
TRIE 36 4592287 7859 4541 10000
TRIE 36 7340459 9514 5215 10000
TRIE 36 4676292 6720 4111 10000
TRIE 36 5592349 7953 4666 10000
TRIE 36 5492343 7889 4588 10000
TRIE 37 8272518 10293 5602 10000
TRIE 37 7236451 9661 5271 10000
TRIE 37 7028440 9594 5329 10000
TRIE 37 14616914 12755 6532 10000
TRIE 37 6088380 7907 4742 10000
TRIE 38 6952434 8674 4988 10000
TRIE 38 8724545 9188 5241 10000
TRIE 38 8268517 9898 5358 10000
TRIE 38 8528533 9452 5315 10000
TRIE 38 5768361 7551 4576 10000
TRIE 39 6432402 8884 5110 10000
TRIE 39 9916620 10306 5571 10000
TRIE 39 11852741 10729 5888 10000
TRIE 39 9240577 9308 5322 10000
TRIE 39 6588412 7818 4661 10000
TRIE 40 12612788 11487 6148 10000
TRIE 40 12000750 10613 5746 10000
TRIE 40 8320520 9051 5161 10000
TRIE 40 9908619 11166 6043 10000
TRIE 40 11792737 10913 5953 10000
