Hash table size    Max bucket size    Num non-empty
2	59401	2
4	51360	4
8	37984	8
16	26951	16
32	18581	32
64	16106	63
128	12456	120
256	10276	226
512	5292	419
1024	5192	557
2048	4665	861
4096	3070	1486
8192	2230	2248
16384	1408	3551
32768	857	5610
65536	573	7674
131072	514	8108
262144	352	12168
524288	254	20220
1048576	144	28381
2097152	127	36590
4194304	114	40265
8388608	98	43952
16777216	94	45655
33554432	86	52257
67108864	84	54402
