DATASTRUCTURE N AVG_TIME STD_DEV NUM_BOARDS
TRIE 2 6.2670333333333336e10 8.58163466958494e10 3
TRIE 3 2.667e9 1.8858538296131718e9 3
TRIE 4 4.0e9 3.265986323710904e9 3
TRIE 5 5.333666666666667e9 1.8853824251034296e9 3
TRIE 6 2.0001333333333332e10 3.2663945805054774e9 3
TRIE 7 1.0667333333333334e10 4.9893219534878235e9 3
TRIE 8 3.3335333333333332e10 9.978554816315948e9 3
TRIE 9 8.0005e10 1.6971269860168587e10 3
TRIE 10 5.8670333333333336e10 2.4514920699216812e10 3
TRIE 11 7.600466666666667e10 2.28635955809424e10 3
TRIE 12 1.28008e11 3.1157620865528225e10 3
TRIE 13 1.74678e11 2.945634818959517e10 3
TRIE 14 1.12007e11 3.409938419776326e10 3
TRIE 15 2.1868033333333334e11 7.745305690689182e10 3
TRIE 16 2.3868133333333334e11 2.660160401596532e10 3
TRIE 17 3.213533333333333e11 1.2876909934021008e11 3
TRIE 18 4.173593333333333e11 1.3328827264325328e11 3
TRIE 19 5.253663333333333e11 1.2139172242327269e11 3
TRIE 20 4.533616666666667e11 1.2481524504197751e11 3
